Value,end_code,county_name,county_code,begin_code,week_ending,state_ansi,region_desc,year,unit_desc,freq_desc,congr_district_code,util_practice_desc,domain_desc,county_ansi,location_desc,state_alpha,state_fips_code,reference_period_desc,country_name,asd_code,source_desc,statisticcat_desc,short_desc,domaincat_desc,commodity_desc,CV (%),group_desc,sector_desc,asd_desc,prodn_practice_desc,load_time,state_name,country_code,watershed_desc,agg_level_desc,class_desc,watershed_code,zip_5
1,00,,,00,,54,,2007,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25143,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25143
1,00,,,00,,54,,2022,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25164,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2024-11-07 12:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25164
1,00,,,00,,54,,2022,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25168,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2024-11-07 12:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25168
1,00,,,00,,54,,2022,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25177,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2024-11-07 12:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25177
3,00,,,00,,54,,2022,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25187,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2024-11-07 12:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25187
3,00,,,00,,54,,2017,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25187,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2018-02-01 12:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25187
4,00,,,00,,54,,2007,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25187,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25187
1,00,,,00,,54,,2022,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25213,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2024-11-07 12:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25213
1,00,,,00,,54,,2017,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25213,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2018-02-01 12:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25213
1,00,,,00,,54,,2022,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25234,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2024-11-07 12:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25234
1,00,,,00,,54,,2022,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25235,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2024-11-07 12:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25235
1,00,,,00,,54,,2017,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25235,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2018-02-01 12:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25235
1,00,,,00,,54,,2022,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25239,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2024-11-07 12:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25239
1,00,,,00,,54,,2017,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25239,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2018-02-01 12:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25239
1,00,,,00,,54,,2022,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25241,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2024-11-07 12:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25241
1,00,,,00,,54,,2017,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25241,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2018-02-01 12:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25241
1,00,,,00,,54,,2007,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25243,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25243
2,00,,,00,,54,,2022,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25244,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2024-11-07 12:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25244
3,00,,,00,,54,,2022,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25245,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2024-11-07 12:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25245
2,00,,,00,,54,,2017,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25245,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2018-02-01 12:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25245
2,00,,,00,,54,,2017,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25248,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2018-02-01 12:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25248
2,00,,,00,,54,,2007,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25248,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25248
1,00,,,00,,54,,2017,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25252,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2018-02-01 12:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25252
1,00,,,00,,54,,2022,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25253,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2024-11-07 12:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25253
3,00,,,00,,54,,2017,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25253,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2018-02-01 12:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25253
1,00,,,00,,54,,2007,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25253,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25253
3,00,,,00,,54,,2022,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25261,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2024-11-07 12:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25261
3,00,,,00,,54,,2022,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25271,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2024-11-07 12:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25271
1,00,,,00,,54,,2022,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25276,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2024-11-07 12:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25276
2,00,,,00,,54,,2022,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25286,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2024-11-07 12:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25286
1,00,,,00,,54,,2022,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25287,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2024-11-07 12:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25287
3,00,,,00,,54,,2017,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25287,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2018-02-01 12:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25287
2,00,,,00,,54,,2007,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25287,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25287
1,00,,,00,,54,,2017,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25304,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2018-02-01 12:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25304
1,00,,,00,,54,,2022,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25312,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2024-11-07 12:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25312
1,00,,,00,,54,,2022,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25401,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2024-11-07 12:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25401
2,00,,,00,,54,,2017,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25401,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2018-02-01 12:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25401
3,00,,,00,,54,,2007,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25401,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25401
1,00,,,00,,54,,2017,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25402,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2018-02-01 12:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25402
3,00,,,00,,54,,2022,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25403,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2024-11-07 12:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25403
2,00,,,00,,54,,2017,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25403,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2018-02-01 12:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25403
6,00,,,00,,54,,2022,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25404,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2024-11-07 12:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25404
6,00,,,00,,54,,2017,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25404,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2018-02-01 12:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25404
2,00,,,00,,54,,2022,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25411,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2024-11-07 12:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25411
2,00,,,00,,54,,2017,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25411,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2018-02-01 12:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25411
5,00,,,00,,54,,2007,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25411,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25411
2,00,,,00,,54,,2022,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25413,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2024-11-07 12:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25413
1,00,,,00,,54,,2017,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25413,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2018-02-01 12:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25413
2,00,,,00,,54,,2007,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25413,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25413
6,00,,,00,,54,,2022,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25414,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2024-11-07 12:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25414
16,00,,,00,,54,,2017,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25414,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2018-02-01 12:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25414
11,00,,,00,,54,,2007,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25414,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25414
2,00,,,00,,54,,2007,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25420,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25420
1,00,,,00,,54,,2022,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25421,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2024-11-07 12:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25421
1,00,,,00,,54,,2017,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25421,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2018-02-01 12:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25421
3,00,,,00,,54,,2022,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25425,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2024-11-07 12:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25425
3,00,,,00,,54,,2007,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25425,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25425
5,00,,,00,,54,,2022,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25427,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2024-11-07 12:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25427
1,00,,,00,,54,,2017,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25427,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2018-02-01 12:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25427
1,00,,,00,,54,,2007,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25427,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25427
3,00,,,00,,54,,2022,OPERATIONS,ANNUAL,,ALL UTILIZATION PRACTICES,SALES,,25428,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,CROP TOTALS - OPERATIONS WITH SALES,"SALES: (50,000 TO 249,999 $)",CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2024-11-07 12:00:00.000,WEST VIRGINIA,9000,,ZIP CODE,ALL CLASSES,00000000,25428
