year,agg_level_desc,statisticcat_desc,domaincat_desc,region_desc,load_time,reference_period_desc,state_ansi,commodity_desc,sector_desc,country_code,congr_district_code,domain_desc,watershed_code,short_desc,prodn_practice_desc,asd_desc,location_desc,asd_code,county_code,source_desc,freq_desc,state_fips_code,util_practice_desc,Value,county_name,state_name,week_ending,state_alpha,unit_desc,class_desc,country_name,zip_5,watershed_desc,end_code,begin_code,county_ansi,group_desc,CV (%)
1980,AGRICULTURAL DISTRICT,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",ALL PRODUCTION PRACTICES,KENAI PENINSULA,"ALASKA, KENAI PENINSULA",30,,SURVEY,ANNUAL,02,ALL UTILIZATION PRACTICES,1.38,,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
1979,AGRICULTURAL DISTRICT,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",ALL PRODUCTION PRACTICES,KENAI PENINSULA,"ALASKA, KENAI PENINSULA",30,,SURVEY,ANNUAL,02,ALL UTILIZATION PRACTICES,1.29,,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
1978,AGRICULTURAL DISTRICT,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",ALL PRODUCTION PRACTICES,KENAI PENINSULA,"ALASKA, KENAI PENINSULA",30,,SURVEY,ANNUAL,02,ALL UTILIZATION PRACTICES,1.52,,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
1977,AGRICULTURAL DISTRICT,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",ALL PRODUCTION PRACTICES,KENAI PENINSULA,"ALASKA, KENAI PENINSULA",30,,SURVEY,ANNUAL,02,ALL UTILIZATION PRACTICES,1.43,,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
1976,AGRICULTURAL DISTRICT,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",ALL PRODUCTION PRACTICES,KENAI PENINSULA,"ALASKA, KENAI PENINSULA",30,,SURVEY,ANNUAL,02,ALL UTILIZATION PRACTICES,1,,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
1975,AGRICULTURAL DISTRICT,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",ALL PRODUCTION PRACTICES,KENAI PENINSULA,"ALASKA, KENAI PENINSULA",30,,SURVEY,ANNUAL,02,ALL UTILIZATION PRACTICES,1.17,,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
1974,AGRICULTURAL DISTRICT,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",ALL PRODUCTION PRACTICES,KENAI PENINSULA,"ALASKA, KENAI PENINSULA",30,,SURVEY,ANNUAL,02,ALL UTILIZATION PRACTICES,0.89,,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
1973,AGRICULTURAL DISTRICT,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",ALL PRODUCTION PRACTICES,KENAI PENINSULA,"ALASKA, KENAI PENINSULA",30,,SURVEY,ANNUAL,02,ALL UTILIZATION PRACTICES,0.84,,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
1972,AGRICULTURAL DISTRICT,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",ALL PRODUCTION PRACTICES,KENAI PENINSULA,"ALASKA, KENAI PENINSULA",30,,SURVEY,ANNUAL,02,ALL UTILIZATION PRACTICES,0.86,,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
1971,AGRICULTURAL DISTRICT,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",ALL PRODUCTION PRACTICES,KENAI PENINSULA,"ALASKA, KENAI PENINSULA",30,,SURVEY,ANNUAL,02,ALL UTILIZATION PRACTICES,0.89,,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
1970,AGRICULTURAL DISTRICT,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",ALL PRODUCTION PRACTICES,KENAI PENINSULA,"ALASKA, KENAI PENINSULA",30,,SURVEY,ANNUAL,02,ALL UTILIZATION PRACTICES,0.85,,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
1969,AGRICULTURAL DISTRICT,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",ALL PRODUCTION PRACTICES,KENAI PENINSULA,"ALASKA, KENAI PENINSULA",30,,SURVEY,ANNUAL,02,ALL UTILIZATION PRACTICES,0.95,,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
1968,AGRICULTURAL DISTRICT,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",ALL PRODUCTION PRACTICES,KENAI PENINSULA,"ALASKA, KENAI PENINSULA",30,,SURVEY,ANNUAL,02,ALL UTILIZATION PRACTICES,1.06,,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
1967,AGRICULTURAL DISTRICT,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",ALL PRODUCTION PRACTICES,KENAI PENINSULA,"ALASKA, KENAI PENINSULA",30,,SURVEY,ANNUAL,02,ALL UTILIZATION PRACTICES,0.97,,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
1966,AGRICULTURAL DISTRICT,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",ALL PRODUCTION PRACTICES,KENAI PENINSULA,"ALASKA, KENAI PENINSULA",30,,SURVEY,ANNUAL,02,ALL UTILIZATION PRACTICES,0.91,,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
1965,AGRICULTURAL DISTRICT,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",ALL PRODUCTION PRACTICES,KENAI PENINSULA,"ALASKA, KENAI PENINSULA",30,,SURVEY,ANNUAL,02,ALL UTILIZATION PRACTICES,1.04,,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
1964,AGRICULTURAL DISTRICT,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",ALL PRODUCTION PRACTICES,KENAI PENINSULA,"ALASKA, KENAI PENINSULA",30,,SURVEY,ANNUAL,02,ALL UTILIZATION PRACTICES,1.3,,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
1963,AGRICULTURAL DISTRICT,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",ALL PRODUCTION PRACTICES,KENAI PENINSULA,"ALASKA, KENAI PENINSULA",30,,SURVEY,ANNUAL,02,ALL UTILIZATION PRACTICES,1.1,,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
1962,AGRICULTURAL DISTRICT,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",ALL PRODUCTION PRACTICES,KENAI PENINSULA,"ALASKA, KENAI PENINSULA",30,,SURVEY,ANNUAL,02,ALL UTILIZATION PRACTICES,1.05,,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
1961,AGRICULTURAL DISTRICT,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",ALL PRODUCTION PRACTICES,KENAI PENINSULA,"ALASKA, KENAI PENINSULA",30,,SURVEY,ANNUAL,02,ALL UTILIZATION PRACTICES,1.03,,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
1960,AGRICULTURAL DISTRICT,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",ALL PRODUCTION PRACTICES,KENAI PENINSULA,"ALASKA, KENAI PENINSULA",30,,SURVEY,ANNUAL,02,ALL UTILIZATION PRACTICES,1.14,,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
1995,AGRICULTURAL DISTRICT,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",ALL PRODUCTION PRACTICES,"OTHER DISTRICTS, ALL COUNTIES","ALASKA, OTHER DISTRICTS, ALL COUNTIES",98,999,SURVEY,ANNUAL,02,ALL UTILIZATION PRACTICES,0.5,,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
1994,AGRICULTURAL DISTRICT,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",ALL PRODUCTION PRACTICES,"OTHER DISTRICTS, ALL COUNTIES","ALASKA, OTHER DISTRICTS, ALL COUNTIES",98,999,SURVEY,ANNUAL,02,ALL UTILIZATION PRACTICES,1,,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
1993,AGRICULTURAL DISTRICT,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",ALL PRODUCTION PRACTICES,"OTHER DISTRICTS, ALL COUNTIES","ALASKA, OTHER DISTRICTS, ALL COUNTIES",98,999,SURVEY,ANNUAL,02,ALL UTILIZATION PRACTICES,1,,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
1992,AGRICULTURAL DISTRICT,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",ALL PRODUCTION PRACTICES,"OTHER DISTRICTS, ALL COUNTIES","ALASKA, OTHER DISTRICTS, ALL COUNTIES",98,999,SURVEY,ANNUAL,02,ALL UTILIZATION PRACTICES,1,,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
1991,AGRICULTURAL DISTRICT,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",ALL PRODUCTION PRACTICES,"OTHER DISTRICTS, ALL COUNTIES","ALASKA, OTHER DISTRICTS, ALL COUNTIES",98,999,SURVEY,ANNUAL,02,ALL UTILIZATION PRACTICES,1,,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
1990,AGRICULTURAL DISTRICT,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",ALL PRODUCTION PRACTICES,"OTHER DISTRICTS, ALL COUNTIES","ALASKA, OTHER DISTRICTS, ALL COUNTIES",98,999,SURVEY,ANNUAL,02,ALL UTILIZATION PRACTICES,1,,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
1989,AGRICULTURAL DISTRICT,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",ALL PRODUCTION PRACTICES,"OTHER DISTRICTS, ALL COUNTIES","ALASKA, OTHER DISTRICTS, ALL COUNTIES",98,999,SURVEY,ANNUAL,02,ALL UTILIZATION PRACTICES,1,,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
1988,AGRICULTURAL DISTRICT,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",ALL PRODUCTION PRACTICES,"OTHER DISTRICTS, ALL COUNTIES","ALASKA, OTHER DISTRICTS, ALL COUNTIES",98,999,SURVEY,ANNUAL,02,ALL UTILIZATION PRACTICES,1,,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
1987,AGRICULTURAL DISTRICT,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",ALL PRODUCTION PRACTICES,"OTHER DISTRICTS, ALL COUNTIES","ALASKA, OTHER DISTRICTS, ALL COUNTIES",98,999,SURVEY,ANNUAL,02,ALL UTILIZATION PRACTICES,1,,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
1986,AGRICULTURAL DISTRICT,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",ALL PRODUCTION PRACTICES,"OTHER DISTRICTS, ALL COUNTIES","ALASKA, OTHER DISTRICTS, ALL COUNTIES",98,999,SURVEY,ANNUAL,02,ALL UTILIZATION PRACTICES,0.5,,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
1985,AGRICULTURAL DISTRICT,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",ALL PRODUCTION PRACTICES,"OTHER DISTRICTS, ALL COUNTIES","ALASKA, OTHER DISTRICTS, ALL COUNTIES",98,999,SURVEY,ANNUAL,02,ALL UTILIZATION PRACTICES,1,,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
1984,AGRICULTURAL DISTRICT,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",ALL PRODUCTION PRACTICES,"OTHER DISTRICTS, ALL COUNTIES","ALASKA, OTHER DISTRICTS, ALL COUNTIES",98,999,SURVEY,ANNUAL,02,ALL UTILIZATION PRACTICES,1,,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
1983,AGRICULTURAL DISTRICT,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",ALL PRODUCTION PRACTICES,"OTHER DISTRICTS, ALL COUNTIES","ALASKA, OTHER DISTRICTS, ALL COUNTIES",98,999,SURVEY,ANNUAL,02,ALL UTILIZATION PRACTICES,1,,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
1982,AGRICULTURAL DISTRICT,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",ALL PRODUCTION PRACTICES,"OTHER DISTRICTS, ALL COUNTIES","ALASKA, OTHER DISTRICTS, ALL COUNTIES",98,999,SURVEY,ANNUAL,02,ALL UTILIZATION PRACTICES,1,,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
1981,AGRICULTURAL DISTRICT,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",ALL PRODUCTION PRACTICES,"OTHER DISTRICTS, ALL COUNTIES","ALASKA, OTHER DISTRICTS, ALL COUNTIES",98,999,SURVEY,ANNUAL,02,ALL UTILIZATION PRACTICES,1,,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
1980,AGRICULTURAL DISTRICT,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",ALL PRODUCTION PRACTICES,"OTHER DISTRICTS, ALL COUNTIES","ALASKA, OTHER DISTRICTS, ALL COUNTIES",98,999,SURVEY,ANNUAL,02,ALL UTILIZATION PRACTICES,2,,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
1979,AGRICULTURAL DISTRICT,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",ALL PRODUCTION PRACTICES,"OTHER DISTRICTS, ALL COUNTIES","ALASKA, OTHER DISTRICTS, ALL COUNTIES",98,999,SURVEY,ANNUAL,02,ALL UTILIZATION PRACTICES,1,,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
1978,AGRICULTURAL DISTRICT,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",ALL PRODUCTION PRACTICES,"OTHER DISTRICTS, ALL COUNTIES","ALASKA, OTHER DISTRICTS, ALL COUNTIES",98,999,SURVEY,ANNUAL,02,ALL UTILIZATION PRACTICES,1,,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
1977,AGRICULTURAL DISTRICT,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",ALL PRODUCTION PRACTICES,"OTHER DISTRICTS, ALL COUNTIES","ALASKA, OTHER DISTRICTS, ALL COUNTIES",98,999,SURVEY,ANNUAL,02,ALL UTILIZATION PRACTICES,1,,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
1976,AGRICULTURAL DISTRICT,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",ALL PRODUCTION PRACTICES,"OTHER DISTRICTS, ALL COUNTIES","ALASKA, OTHER DISTRICTS, ALL COUNTIES",98,999,SURVEY,ANNUAL,02,ALL UTILIZATION PRACTICES,1,,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
1975,AGRICULTURAL DISTRICT,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",ALL PRODUCTION PRACTICES,"OTHER DISTRICTS, ALL COUNTIES","ALASKA, OTHER DISTRICTS, ALL COUNTIES",98,999,SURVEY,ANNUAL,02,ALL UTILIZATION PRACTICES,0.67,,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
1974,AGRICULTURAL DISTRICT,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",ALL PRODUCTION PRACTICES,"OTHER DISTRICTS, ALL COUNTIES","ALASKA, OTHER DISTRICTS, ALL COUNTIES",98,999,SURVEY,ANNUAL,02,ALL UTILIZATION PRACTICES,0.67,,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
1973,AGRICULTURAL DISTRICT,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",ALL PRODUCTION PRACTICES,"OTHER DISTRICTS, ALL COUNTIES","ALASKA, OTHER DISTRICTS, ALL COUNTIES",98,999,SURVEY,ANNUAL,02,ALL UTILIZATION PRACTICES,0.67,,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
1972,AGRICULTURAL DISTRICT,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",ALL PRODUCTION PRACTICES,"OTHER DISTRICTS, ALL COUNTIES","ALASKA, OTHER DISTRICTS, ALL COUNTIES",98,999,SURVEY,ANNUAL,02,ALL UTILIZATION PRACTICES,0.67,,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
1971,AGRICULTURAL DISTRICT,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",ALL PRODUCTION PRACTICES,"OTHER DISTRICTS, ALL COUNTIES","ALASKA, OTHER DISTRICTS, ALL COUNTIES",98,999,SURVEY,ANNUAL,02,ALL UTILIZATION PRACTICES,0.67,,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
1970,AGRICULTURAL DISTRICT,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",ALL PRODUCTION PRACTICES,"OTHER DISTRICTS, ALL COUNTIES","ALASKA, OTHER DISTRICTS, ALL COUNTIES",98,999,SURVEY,ANNUAL,02,ALL UTILIZATION PRACTICES,1,,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
1969,AGRICULTURAL DISTRICT,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",ALL PRODUCTION PRACTICES,"OTHER DISTRICTS, ALL COUNTIES","ALASKA, OTHER DISTRICTS, ALL COUNTIES",98,999,SURVEY,ANNUAL,02,ALL UTILIZATION PRACTICES,1,,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
1968,AGRICULTURAL DISTRICT,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",ALL PRODUCTION PRACTICES,"OTHER DISTRICTS, ALL COUNTIES","ALASKA, OTHER DISTRICTS, ALL COUNTIES",98,999,SURVEY,ANNUAL,02,ALL UTILIZATION PRACTICES,0.67,,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
1967,AGRICULTURAL DISTRICT,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, (EXCL ALFALFA) - YIELD, MEASURED IN TONS / ACRE",ALL PRODUCTION PRACTICES,"OTHER DISTRICTS, ALL COUNTIES","ALASKA, OTHER DISTRICTS, ALL COUNTIES",98,999,SURVEY,ANNUAL,02,ALL UTILIZATION PRACTICES,0.67,,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,
